date,consumer_sentiment,investor_sentiment
2015-01-01,-0.0036000000000000008,0.9721
2015-01-02,0.1529159420289855,
2015-01-03,0.04081395348837209,0.9961
2015-01-04,0.09096470588235295,
2015-01-05,0.19672580645161292,0.8481
2015-01-06,0.028724999999999997,
2015-01-07,0.1757912408759124,
2015-01-08,0.1351767441860465,
2015-01-09,0.2174470588235294,
2015-01-10,0.22583142857142857,0.9287
2015-01-11,0.2043722222222222,0.9788
2015-01-12,0.2524636363636364,0.7579
2015-01-13,0.1294964705882353,
2015-01-14,-0.0592608695652174,
2015-01-15,-0.18369117647058825,0.9957
2015-01-16,0.10165312499999998,
2015-01-17,0.24177692307692308,0.7845
2015-01-18,0.07975652173913043,0.9713
2015-01-19,0.09482105263157894,
2015-01-20,0.1760027027027027,
2015-01-21,-0.005472413793103446,0.9866
2015-01-22,-0.006480769230769236,0.9862
2015-01-23,0.3318892857142857,
2015-01-24,0.014449999999999998,
2015-01-25,0.17147,
2015-01-26,-0.01776578947368422,
2015-01-27,0.021952000000000003,
2015-01-28,-0.07918846153846155,0.5994
2015-01-29,0.027336111111111103,
2015-01-30,0.012469999999999995,
2015-01-31,0.1047,
2015-02-01,0.24529642857142858,
2015-02-02,0.10005517241379311,
2015-02-03,0.21829756097560976,
2015-02-04,0.24711379310344828,0.418
2015-02-05,0.12267407407407406,
2015-02-06,0.1706638888888889,
2015-02-07,0.24536296296296295,
2015-02-08,0.254495,
2015-02-09,0.28597222222222224,
2015-02-10,-0.0131528735632184,
2015-02-11,0.23463333333333333,
2015-02-12,0.06493714285714286,
2015-02-13,0.07559655172413793,
2015-02-14,0.2998,
2015-02-15,0.10676923076923076,
2015-02-16,0.17299310344827587,0.9451
2015-02-17,0.09451875,0.9826
2015-02-18,-0.03910799999999999,0.886
2015-02-19,0.12915714285714286,
2015-02-20,0.013989655172413795,
2015-02-21,0.14573214285714284,0.9349
2015-02-22,-0.07441250000000002,
2015-02-23,0.24700869565217393,
2015-02-24,0.08790833333333332,
2015-02-25,0.19525882352941176,
2015-02-26,0.09404848484848485,0.9943
2015-02-27,0.08596206896551727,
2015-02-28,0.06317391304347827,0.8074
2015-03-01,0.36197500000000005,
2015-03-02,0.06062000000000001,0.9458
2015-03-03,0.18958888888888886,0.9509
2015-03-04,0.10874,0.25315
2015-03-05,0.09308970588235294,
2015-03-06,0.12400277777777778,
2015-03-07,-0.062317500000000005,
2015-03-08,0.24074545454545457,
2015-03-09,0.2005487804878049,
2015-03-10,0.105435,0.9661
2015-03-11,0.11872432432432434,0.9947
2015-03-12,-0.11808541666666666,
2015-03-13,0.03846326530612245,
2015-03-14,0.0815125,
2015-03-15,0.15866363636363637,
2015-03-16,0.1465921568627451,
2015-03-17,0.20337105263157892,0.9301
2015-03-18,0.16696129032258067,
2015-03-19,0.13032916666666666,
2015-03-20,0.035637499999999996,0.8062
2015-03-21,0.039731578947368416,
2015-03-22,0.07871999999999998,
2015-03-23,-0.1240813559322034,0.9423
2015-03-24,0.18411999999999998,
2015-03-25,0.1575325581395349,
2015-03-26,0.133103125,
2015-03-27,0.2774235294117647,
2015-03-28,0.0712590909090909,
2015-03-29,0.29923333333333335,
2015-03-30,0.2854205128205128,0.9746
2015-03-31,0.025327272727272723,
2015-04-01,-0.04918591549295775,-0.4767
2015-04-02,0.23020000000000002,
2015-04-03,0.3346272727272727,
2015-04-04,0.10001052631578947,
2015-04-05,0.15608,
2015-04-06,0.14553518518518518,
2015-04-07,0.04257662337662338,
2015-04-08,0.2040269841269841,
2015-04-09,0.19844307692307692,
2015-04-10,0.0929625,0.9099
2015-04-11,-0.01658918918918919,
2015-04-12,0.3142344827586207,
2015-04-13,0.14131240310077517,
2015-04-14,0.10290222222222221,
2015-04-15,0.08488072289156626,0.985
2015-04-16,-0.3884042345276873,0.6823
2015-04-17,-0.2272370588235294,0.8313333333333333
2015-04-18,-0.09988651685393257,0.9531
2015-04-19,-0.1431251968503937,
2015-04-20,-0.05409565217391304,
2015-04-21,-0.03517573529411765,
2015-04-22,0.0921186274509804,0.0
2015-04-23,0.03576203703703704,-0.5423
2015-04-24,0.03596309523809524,0.9848
2015-04-25,0.1067920634920635,
2015-04-26,0.04368194444444445,0.0772
2015-04-27,-0.00011609195402298721,0.397875
2015-04-28,0.014025609756097563,0.918
2015-04-29,0.1779103896103896,-0.2741
2015-04-30,0.113422,
2015-05-01,0.05058529411764707,
2015-05-02,0.19879896907216496,
2015-05-03,0.006010588235294119,
2015-05-04,-0.04036204819277109,0.0
2015-05-05,-0.05123482142857143,0.72095
2015-05-06,0.0011878378378378405,
2015-05-07,-0.08420000000000001,
2015-05-08,-0.004500000000000003,
2015-05-09,0.07806949152542374,
2015-05-10,0.032101960784313724,
2015-05-11,0.17280535714285714,
2015-05-12,-0.04598181818181818,
2015-05-13,0.09312542372881355,0.6467999999999999
2015-05-14,-0.01286610169491526,0.9895
2015-05-15,-0.1947740740740741,
2015-05-16,-0.014659649122807036,
2015-05-17,0.06244186046511628,
2015-05-18,0.14761481481481484,0.87715
2015-05-19,-0.023038888888888893,
2015-05-20,0.18401052631578949,
2015-05-21,0.12725744680851064,
2015-05-22,0.19916,
2015-05-23,0.22838461538461538,0.4802
2015-05-24,-0.10092857142857144,
2015-05-25,0.137503125,0.8664999999999999
2015-05-26,0.13750983606557377,
2015-05-27,0.1872764705882353,
2015-05-28,-0.005982352941176476,-0.9796
2015-05-29,0.08014146341463414,
2015-05-30,0.10595294117647058,0.0
2015-05-31,0.09964285714285713,0.9949
2015-06-01,0.25207560975609755,
2015-06-02,0.12117066666666666,
2015-06-03,0.034515625,
2015-06-04,0.09660277777777777,-0.5994
2015-06-05,0.15262058823529412,
2015-06-06,-0.1044,
2015-06-07,-0.030206250000000004,
2015-06-08,0.053956097560975615,
2015-06-09,0.15606666666666666,
2015-06-10,0.05537021276595745,0.5542
2015-06-11,0.01283855421686747,
2015-06-12,0.2503078431372549,0.99055
2015-06-13,0.26333666666666666,
2015-06-14,-0.026606060606060612,0.9844
2015-06-15,0.07966530612244897,0.802
2015-06-16,0.2485417910447761,
2015-06-17,0.09921136363636363,
2015-06-18,0.21425510204081633,-0.0258
2015-06-19,0.2103809523809524,
2015-06-20,0.06254347826086956,
2015-06-21,0.24949230769230768,
2015-06-22,0.31350693069306934,
2015-06-23,0.08453064516129032,
2015-06-24,0.09513076923076924,0.9873
2015-06-25,0.06300493827160493,
2015-06-26,0.23031,
2015-06-27,0.13824444444444445,0.959
2015-06-28,0.1414108108108108,
2015-06-29,0.18202000000000002,
2015-06-30,0.27202615384615386,
2015-07-01,0.1276280701754386,
2015-07-02,0.1574122807017544,0.9909
2015-07-03,0.0397,
2015-07-04,0.26699375000000003,0.9661
2015-07-05,0.20274468085106384,0.8730800000000001
2015-07-06,0.13606764705882352,0.937
2015-07-07,-0.013435000000000006,
2015-07-08,0.07527281553398057,
2015-07-09,0.2493458823529412,0.71315
2015-07-10,0.12981206896551725,
2015-07-11,-0.07681359223300971,0.81525
2015-07-12,0.07643,0.9401333333333334
2015-07-13,0.08316724137931034,
2015-07-14,0.12901159420289854,0.9413
2015-07-15,0.27233809523809527,0.936
2015-07-16,0.25980888888888887,0.22125
2015-07-17,0.17582275862068966,
2015-07-18,0.15136435643564358,0.9515
2015-07-19,0.1959778846153846,
2015-07-20,0.13931932773109243,
2015-07-21,0.18862440944881892,
2015-07-22,0.18355108695652175,
2015-07-23,0.19223086419753088,0.6539666666666667
2015-07-24,0.2451655172413793,-0.0015499999999999958
2015-07-25,0.335537037037037,-0.8532
2015-07-26,0.196216,
2015-07-27,0.1353209677419355,0.72305
2015-07-28,0.21163793103448275,0.765
2015-07-29,0.2528166666666667,0.90035
2015-07-30,0.2844948717948718,0.7757499999999999
2015-07-31,0.17320238095238094,
2015-08-01,0.23313703703703706,0.9682
2015-08-02,0.17688571428571429,
2015-08-03,0.07145961538461539,0.8516
2015-08-04,0.15514313725490197,0.27985
2015-08-05,0.06972682926829267,-0.19434444444444446
2015-08-06,0.2179875,0.859
2015-08-07,0.3191340425531915,0.9193
2015-08-08,-0.053515151515151516,
2015-08-09,0.11492812499999999,0.9999
2015-08-10,-0.06840512820512822,
2015-08-11,0.004737499999999993,0.8326
2015-08-12,-0.09858924731182797,0.4767
2015-08-13,0.007810714285714287,0.8702000000000001
2015-08-14,-0.05876296296296296,0.26055000000000006
2015-08-15,-0.23363229166666666,0.7845
2015-08-16,-0.08724148936170215,0.6597
2015-08-17,-0.0014397058823529378,
2015-08-18,0.01502307692307692,
2015-08-19,0.2153175438596491,0.8460000000000001
2015-08-20,0.09573000000000001,0.6118
2015-08-21,0.06963818181818182,0.91255
2015-08-22,0.1364764705882353,
2015-08-23,-0.0002558139534883736,0.9905
2015-08-24,0.1506333333333333,
2015-08-25,0.08378378378378379,0.7022
2015-08-26,-0.08980909090909091,-0.16896666666666668
2015-08-27,-0.3029495145631068,
2015-08-28,-0.004448888888888886,
2015-08-29,-0.21352272727272725,
2015-08-30,-0.1392081081081081,0.72965
2015-08-31,0.033084615384615386,
2015-09-01,0.02959787234042553,0.9114500000000001
2015-09-02,0.14886097560975609,0.0
2015-09-03,-0.073425,0.2533
2015-09-04,0.017854411764705876,0.4019
2015-09-05,0.09193142857142855,0.6369
2015-09-06,0.11129666666666667,-0.5267
2015-09-07,-0.044822916666666664,-0.4939
2015-09-08,0.014574193548387092,
2015-09-09,0.06188412698412698,
2015-09-10,0.08542682926829268,
2015-09-11,0.08471388888888888,0.9906
2015-09-12,-0.03876333333333334,0.9104
2015-09-13,-0.04546511627906977,0.9517
2015-09-14,0.022993220338983048,
2015-09-15,0.005999999999999999,0.9725
2015-09-16,0.16680930232558142,
2015-09-17,0.08495405405405405,
2015-09-18,0.20077666666666666,-0.296
2015-09-19,0.03558717948717949,
2015-09-20,0.26809666666666665,
2015-09-21,0.2743042553191489,0.7964
2015-09-22,0.17694883720930232,0.22906666666666664
2015-09-23,0.102475,0.9966
2015-09-24,-0.09224324324324325,-0.7479
2015-09-25,-0.061409090909090906,
2015-09-26,0.11817000000000001,
2015-09-27,-0.14026470588235296,
2015-09-28,0.12027,
2015-09-29,0.31808947368421053,-0.20564999999999997
2015-09-30,0.10332758620689655,0.0
2015-10-01,0.2551975,0.9958
2015-10-02,0.11225609756097561,
2015-10-03,0.2867730769230769,0.9749
2015-10-04,0.10005,0.4939
2015-10-05,0.01771363636363636,
2015-10-06,0.08256666666666668,
2015-10-07,0.1761208333333333,
2015-10-08,0.15593513513513513,
2015-10-09,0.13136346153846154,
2015-10-10,0.12394594594594595,
2015-10-11,0.407096,
2015-10-12,0.11491395348837209,
2015-10-13,0.32724468085106384,0.19866666666666666
2015-10-14,-0.04689473684210527,0.9803999999999999
2015-10-15,0.06331746031746031,
2015-10-16,0.03618048780487804,0.8785
2015-10-17,0.07905714285714285,0.7845
2015-10-18,-0.2943069230769231,
2015-10-19,-0.13211654135338347,
2015-10-20,-0.300503125,0.0
2015-10-21,-0.03723176470588235,0.0258
2015-10-22,-0.15726641791044776,0.4918666666666667
2015-10-23,-0.08212016129032258,0.8487
2015-10-24,-0.07839583333333335,
2015-10-25,-0.1619109589041096,
2015-10-26,-0.09421808510638298,0.6016
2015-10-27,0.029345901639344266,
2015-10-28,-0.04545820895522388,
2015-10-29,-0.13181170212765958,-0.4679
2015-10-30,-0.022553623188405796,0.119
2015-10-31,-0.035645652173913044,
2015-11-01,0.053079166666666656,
2015-11-02,0.012795161290322581,0.5118
2015-11-03,-0.0851164705882353,0.20655
2015-11-04,-0.08500387596899225,0.39363333333333334
2015-11-05,0.01698796296296296,-0.32484999999999997
2015-11-06,-0.1533240875912409,0.25
2015-11-07,0.030982258064516124,0.5719
2015-11-08,-0.06948659793814434,
2015-11-09,-0.07954786324786325,
2015-11-10,-0.06919561403508773,-0.4939
2015-11-11,-0.08185673076923076,
2015-11-12,-0.04387058823529412,0.7086
2015-11-13,-0.1097345864661654,0.886
2015-11-14,0.028678181818181825,
2015-11-15,-0.14944411764705884,
2015-11-16,-0.1440620253164557,0.8126
2015-11-17,0.05158125,0.9828
2015-11-18,-0.014705797101449281,
2015-11-19,-0.02569866666666667,0.249
2015-11-20,0.068404,0.6769
2015-11-21,-0.1236,
2015-11-22,-0.08572500000000001,0.9382
2015-11-23,-0.09211206896551724,0.0
2015-11-24,-0.10891545454545455,
2015-11-25,-0.3261813333333333,0.5127
2015-11-26,-0.12267704918032787,
2015-11-27,-0.19222745098039215,-0.1779
2015-11-28,-0.032521176470588234,
2015-11-29,-0.0006922222222222318,
2015-11-30,0.009446017699115048,
2015-12-01,-0.16499999999999998,
2015-12-02,-0.19305533980582523,
2015-12-03,0.0038541284403669682,0.9946
2015-12-04,0.006777173913043468,0.9435
2015-12-05,-0.08672666666666667,
2015-12-06,0.06217073170731707,
2015-12-07,-0.09828835616438357,0.9552
2015-12-08,-0.15856174496644296,0.6008
2015-12-09,-0.05801818181818182,
2015-12-10,-0.08369430379746837,
2015-12-11,-0.04594444444444445,
2015-12-12,-0.020900847457627117,
2015-12-13,-0.03247931034482759,
2015-12-14,-0.017779190751445094,
2015-12-15,-0.13987653846153847,0.9882
2015-12-16,-0.172278,0.5719
2015-12-17,-0.09069482758620691,0.7003
2015-12-18,-0.10535550458715597,
2015-12-19,-0.052621925133689844,
2015-12-20,-0.1390345238095238,0.8553
2015-12-21,-0.0998169696969697,0.2294
2015-12-22,0.08266881720430108,0.9968
2015-12-23,0.1402573170731707,
2015-12-24,0.15082903225806452,0.5423
2015-12-25,-0.05419687499999999,
2015-12-26,0.17381764705882355,
2015-12-27,0.06714489795918367,
2015-12-28,0.019099999999999992,-0.45915
2015-12-29,-0.04528103448275862,0.8774
2015-12-30,0.042631249999999996,
2015-12-31,0.07517205882352941,0.9976499999999999
2016-01-01,0.1745265306122449,
2016-01-02,0.1405282608695652,
2016-01-03,-0.024879069767441864,
2016-01-04,0.17465614035087718,-0.4404
2016-01-05,0.03644235294117647,0.1334
2016-01-06,0.04084615384615385,0.6225333333333334
2016-01-07,-0.1173542372881356,0.9794
2016-01-08,-0.0516677966101695,0.6920999999999999
2016-01-09,0.27199999999999996,
2016-01-10,0.11974313725490195,
2016-01-11,0.07626470588235293,
2016-01-12,-0.005131481481481492,
2016-01-13,0.12798478260869564,
2016-01-14,0.02134242424242424,
2016-01-15,0.019730769230769225,0.23655
2016-01-16,-0.10391219512195121,0.5106
2016-01-17,0.41706400000000005,
2016-01-18,0.31973684210526315,0.3182
2016-01-19,0.04810952380952381,
2016-01-20,0.14370833333333333,
2016-01-21,0.2061795918367347,-0.013000000000000012
2016-01-22,0.2618951219512195,0.29373333333333335
2016-01-23,-0.041313636363636365,
2016-01-24,0.095759375,0.96305
2016-01-25,0.17403529411764707,
2016-01-26,0.012881818181818173,0.97975
2016-01-27,0.03414130434782609,0.9792
2016-01-28,-0.10941886792452832,-0.6682
2016-01-29,0.117855,
2016-01-30,0.06027179487179487,-0.09775
2016-01-31,0.1044,
2016-02-01,0.04867647058823529,
2016-02-02,0.12530363636363637,0.6375333333333334
2016-02-03,0.10998392857142858,0.9574499999999999
2016-02-04,0.26718333333333333,
2016-02-05,0.1079820512820513,0.2023
2016-02-06,0.1130235294117647,
2016-02-07,0.15743725490196078,
2016-02-08,-0.08492022471910113,-0.05604999999999999
2016-02-09,-0.0476875,0.541725
2016-02-10,0.13296101694915252,0.14365
2016-02-11,0.0904953488372093,0.443
2016-02-12,0.028680434782608687,0.9246
2016-02-13,0.07497884615384615,0.7523
2016-02-14,0.2804142857142857,
2016-02-15,0.10076571428571428,
2016-02-16,0.11226000000000001,
2016-02-17,0.057802816901408455,
2016-02-18,0.1700423076923077,
2016-02-19,-0.12349565217391305,0.20865
2016-02-20,0.1386375,
2016-02-21,0.04485238095238094,
2016-02-22,0.08491641791044777,
2016-02-23,0.06983333333333334,
2016-02-24,0.3343611111111111,
2016-02-25,0.128838,-0.6808
2016-02-26,0.048936363636363625,
2016-02-27,0.1154111111111111,0.9273
2016-02-28,0.022186666666666664,
2016-02-29,0.3100525,0.9432
2016-03-01,0.10211481481481481,-0.128
2016-03-02,-0.057913333333333344,
2016-03-03,0.0024907692307692274,0.998
2016-03-04,0.029667241379310347,
2016-03-05,-0.006883636363636369,
2016-03-06,0.011593750000000005,
2016-03-07,-0.10998205128205128,
2016-03-08,-0.14459047619047619,
2016-03-09,-0.1266658536585366,
2016-03-10,-0.31755193370165746,
2016-03-11,-0.2886287037037037,0.0772
2016-03-12,-0.022709090909090915,
2016-03-13,-0.011236666666666666,0.4767
2016-03-14,-0.038163333333333334,
2016-03-15,0.054326415094339615,
2016-03-16,0.10010192307692306,
2016-03-17,-0.081953125,
2016-03-18,-0.07869811320754717,0.8176
2016-03-19,-0.01587560975609756,
2016-03-20,0.29361627906976745,
2016-03-21,0.2598771428571428,0.9022
2016-03-22,0.04980465116279069,
2016-03-23,0.17875744680851063,0.8605499999999999
2016-03-24,-0.13929268292682928,0.8779
2016-03-25,-0.062173684210526325,
2016-03-26,-0.09298235294117647,
2016-03-27,0.071108,
2016-03-28,0.1540408163265306,0.03513333333333335
2016-03-29,0.01106444444444443,
2016-03-30,-0.16717500000000002,
2016-03-31,0.006168181818181808,0.9381
2016-04-01,-0.1107775,0.5665
2016-04-02,-0.03732500000000001,
2016-04-03,0.025541666666666667,
2016-04-04,-0.0407068493150685,
2016-04-05,-0.10263389830508474,0.6912499999999999
2016-04-06,-0.2358043165467626,-0.0267
2016-04-07,-0.18909676025917926,0.16555
2016-04-08,-0.1170236051502146,0.9869
2016-04-09,-0.12297114093959732,0.05595
2016-04-10,0.031211578947368417,-0.8885
2016-04-11,-0.1983386666666667,0.9942
2016-04-12,-0.21703467741935487,
2016-04-13,-0.13205728813559323,
2016-04-14,-0.14065443037974684,0.468
2016-04-15,-0.059939473684210536,0.8591
2016-04-16,-0.03801566265060242,
2016-04-17,-0.0948722891566265,
2016-04-18,-0.04609722222222223,0.9949
2016-04-19,-0.0216830985915493,-0.9858
2016-04-20,-0.0031524390243902506,
2016-04-21,-0.08172025316455697,
2016-04-22,-0.008648051948051952,0.9819
2016-04-23,0.018369411764705877,
2016-04-24,0.09473235294117646,0.48425
2016-04-25,-0.015078160919540236,
2016-04-26,-0.1613901960784314,0.9283
2016-04-27,-0.21147600000000003,0.9246
2016-04-28,-0.051532352941176474,0.9231
2016-04-29,-0.07155714285714286,
2016-04-30,-0.024951724137931047,
2016-05-01,-0.11926718750000001,
2016-05-02,-0.22262424242424245,
2016-05-03,-0.21330725806451614,
2016-05-04,-0.16334,0.9725
2016-05-05,-0.24198783783783784,
2016-05-06,-0.18866468085106386,0.30855
2016-05-07,-0.18345,-0.4404
2016-05-08,-0.12750214285714287,0.9051
2016-05-09,-0.12662185792349728,0.7096
2016-05-10,-0.11103972602739726,0.0386
2016-05-11,-0.11958333333333335,-0.7096
2016-05-12,-0.07104245283018869,0.9948
2016-05-13,-0.02939000000000001,-0.9959
2016-05-14,0.017502247191011226,
2016-05-15,-0.02375250000000001,
2016-05-16,0.04267978723404254,
2016-05-17,-0.12483076923076923,0.9857
2016-05-18,0.06825384615384615,
2016-05-19,-0.031698550724637675,
2016-05-20,0.02035384615384615,
2016-05-21,0.09133088235294118,
2016-05-22,0.11218571428571429,0.886
2016-05-23,0.062555,0.71895
2016-05-24,0.04724805194805194,
2016-05-25,0.0027746478873239304,0.9175
2016-05-26,0.11907027027027026,
2016-05-27,0.13038166666666667,
2016-05-28,0.029410526315789467,0.2940333333333333
2016-05-29,-0.08865531914893618,0.891
2016-05-30,0.081125,0.0
2016-05-31,-0.01161547619047619,
2016-06-01,0.0036305882352941177,0.9022
2016-06-02,0.20166633663366337,
2016-06-03,-0.09002207792207792,
2016-06-04,0.03792765957446809,0.9654
2016-06-05,0.004885964912280701,
2016-06-06,0.17994578313253012,
2016-06-07,0.24342,0.8545499999999999
2016-06-08,0.04819420289855072,
2016-06-09,0.058502409638554215,
2016-06-10,0.04826301369863014,
2016-06-11,0.1891642857142857,
2016-06-12,0.014965853658536586,-0.013900000000000023
2016-06-13,0.12301940298507463,
2016-06-14,0.04398823529411765,0.3806
2016-06-15,0.17114642857142856,0.88655
2016-06-16,0.13676206896551724,0.44325
2016-06-17,0.11957912087912088,
2016-06-18,0.02158225806451613,
2016-06-19,0.06826338028169014,
2016-06-20,0.060931818181818184,
2016-06-21,0.14209868421052632,
2016-06-22,0.062210891089108905,
2016-06-23,0.043874809160305346,0.9913
2016-06-24,-0.04504923076923077,0.031100000000000017
2016-06-25,0.16600612244897958,
2016-06-26,0.10422884615384616,-0.8451
2016-06-27,0.06560689655172414,
2016-06-28,0.012125862068965517,0.5994
2016-06-29,0.1861328125,
2016-06-30,0.033529687499999995,0.26103333333333334
2016-07-01,0.13297659574468085,0.0754
2016-07-02,0.11530882352941176,
2016-07-03,0.11169459459459459,
2016-07-04,0.14577647058823529,0.30345
2016-07-05,-0.0381056603773585,
2016-07-06,0.11559607843137254,0.95075
2016-07-07,-0.0007000000000000015,0.9395
2016-07-08,0.1052560975609756,
2016-07-09,0.026879487179487176,
2016-07-10,0.150978125,
2016-07-11,0.0465074074074074,
2016-07-12,0.1179125,0.6369
2016-07-13,0.25567142857142855,
2016-07-14,0.194565,0.9466
2016-07-15,-0.1277014705882353,
2016-07-16,-0.049883168316831684,
2016-07-17,-0.09379818181818182,
2016-07-18,-0.0601409090909091,0.9868
2016-07-19,0.16293023255813954,-0.1725
2016-07-20,0.06539107142857142,0.9584
2016-07-21,0.2446590909090909,0.79835
2016-07-22,-0.007697499999999994,
2016-07-23,0.13066756756756756,
2016-07-24,0.10584176706827308,
2016-07-25,0.0925842105263158,0.0
2016-07-26,0.12647272727272726,
2016-07-27,0.20675217391304349,
2016-07-28,0.03292173913043478,-0.9389
2016-07-29,0.12211132075471698,
2016-07-30,0.051515686274509795,
2016-07-31,0.07043684210526314,0.9961
2016-08-01,0.1480388888888889,
2016-08-02,0.14124262295081969,
2016-08-03,0.11514468085106382,0.7506
2016-08-04,0.14036829268292683,0.9972
2016-08-05,0.068065,-0.7394
2016-08-06,0.15484615384615383,
2016-08-07,0.10585081967213116,
2016-08-08,-0.02078225806451613,
2016-08-09,0.058499999999999996,0.04099999999999999
2016-08-10,-0.02621384615384615,-0.2023
2016-08-11,-0.01576301369863014,
2016-08-12,-0.1549769230769231,0.128
2016-08-13,-0.05193181818181818,
2016-08-14,-0.12278125000000001,
2016-08-15,-0.015833333333333335,
2016-08-16,0.025379310344827582,0.9022
2016-08-17,0.09053770491803277,
2016-08-18,-0.019406249999999993,
2016-08-19,0.06322658227848102,
2016-08-20,0.08758524590163934,
2016-08-21,0.07972954545454546,0.6928
2016-08-22,0.030914285714285714,
2016-08-23,0.02494716981132075,
2016-08-24,0.02888484848484848,
2016-08-25,0.006812987012987008,
2016-08-26,-0.01457333333333334,
2016-08-27,0.09200625,
2016-08-28,0.035332653061224475,
2016-08-29,0.05720555555555556,
2016-08-30,-0.09419807692307693,
2016-08-31,0.05247924528301886,0.8641
2016-09-01,-0.00985409836065574,
2016-09-02,0.094896,
2016-09-03,0.06428518518518518,
2016-09-04,0.20909574468085107,
2016-09-05,0.20284310344827586,0.05554999999999999
2016-09-06,0.11310754716981132,
2016-09-07,0.0302530612244898,
2016-09-08,0.11232835820895522,0.6919
2016-09-09,0.16450188679245284,
2016-09-10,0.05672777777777777,
2016-09-11,0.08064893617021276,
2016-09-12,0.22641666666666665,
2016-09-13,0.106944,
