date,avg_compound,post_count
2015-01-01,-0.291,7
2015-01-02,0.267295,20
2015-01-03,0.06841666666666668,6
2015-01-04,0.061200000000000004,8
2015-01-05,0.36665000000000003,8
2015-01-06,0.3200625,8
2015-01-07,0.4670428571428572,7
2015-01-08,-0.230375,4
2015-01-09,0.12234999999999999,8
2015-01-10,-0.09804000000000002,10
2015-01-11,0.09073333333333333,6
2015-01-12,0.17995000000000003,12
2015-01-13,0.11298983050847457,59
2015-01-14,-0.22190370370370371,27
2015-01-15,-0.44480000000000003,19
2015-01-16,-0.2513909090909091,11
2015-01-17,0.25403846153846155,13
2015-01-18,0.04176363636363637,11
2015-01-19,0.06718333333333333,12
2015-01-20,-0.000449999999999999,8
2015-01-21,-0.2548166666666667,12
2015-01-22,-0.11805333333333334,15
2015-01-23,0.17947272727272728,11
2015-01-24,0.19403333333333336,9
2015-01-25,0.12085,6
2015-01-26,-0.04627222222222223,18
2015-01-27,0.04668888888888888,9
2015-01-28,-0.11628333333333335,12
2015-01-29,0.16953888888888888,18
2015-01-30,0.16712000000000002,15
2015-01-31,0.26185555555555556,18
2015-02-01,0.3737818181818182,11
2015-02-02,-0.033339999999999995,10
2015-02-03,0.10867,20
2015-02-04,0.30542857142857144,7
2015-02-05,0.7418,4
2015-02-06,0.10935555555555555,9
2015-02-07,0.14068,15
2015-02-08,0.16668571428571427,7
2015-02-09,0.432475,4
2015-02-10,-0.13735666666666668,60
2015-02-11,0.23605384615384614,13
2015-02-12,0.13371176470588234,17
2015-02-13,-0.06135,18
2015-02-14,0.05793333333333333,6
2015-02-15,0.00872222222222222,9
2015-02-16,0.12646666666666667,12
2015-02-17,-0.12231333333333333,15
2015-02-18,-0.12044999999999999,4
2015-02-19,0.21806666666666666,6
2015-02-20,-0.05161818181818181,11
2015-02-21,0.2856444444444444,9
2015-02-22,-0.07156666666666668,6
2015-02-23,0.24881666666666666,6
2015-02-24,0.09707352941176471,34
2015-02-25,0.09950454545454544,22
2015-02-26,0.19382631578947368,19
2015-02-27,0.03902916666666668,24
2015-02-28,-0.24789,10
2015-03-01,0.2865625,8
2015-03-02,0.03676875,16
2015-03-03,0.059139130434782604,23
2015-03-04,0.133324,75
2015-03-05,0.10956730769230769,52
2015-03-06,0.13440000000000002,19
2015-03-07,-0.12445833333333334,24
2015-03-08,-0.03670666666666667,15
2015-03-09,0.15367647058823528,17
2015-03-10,0.1361466666666667,15
2015-03-11,0.13668333333333335,12
2015-03-12,0.025784615384615385,39
2015-03-13,-0.03132083333333333,24
2015-03-14,-0.060775,12
2015-03-15,0.08792857142857143,14
2015-03-16,0.24446428571428575,14
2015-03-17,0.15531999999999999,15
2015-03-18,-9.999999999987797e-06,10
2015-03-19,0.17025666666666664,30
2015-03-20,0.037995999999999995,25
2015-03-21,0.0229076923076923,13
2015-03-22,-0.0964857142857143,14
2015-03-23,-0.37908437500000003,32
2015-03-24,0.06649310344827584,29
2015-03-25,0.029922222222222215,18
2015-03-26,0.22404,15
2015-03-27,0.3598368421052632,19
2015-03-28,-0.4305875,8
2015-03-29,0.39192,5
2015-03-30,0.07965624999999998,16
2015-03-31,-0.057930434782608696,23
2015-04-01,0.02025526315789473,38
2015-04-02,0.28759599999999996,25
2015-04-03,0.21444,15
2015-04-04,0.3093857142857143,7
2015-04-05,0.20505000000000004,6
2015-04-06,0.17869285714285715,28
2015-04-07,0.07014137931034482,58
2015-04-08,0.1689857142857143,35
2015-04-09,0.15137241379310346,29
2015-04-10,0.035275,24
2015-04-11,-0.09291818181818182,22
2015-04-12,0.4608,9
2015-04-13,0.05725306122448979,49
2015-04-14,0.055862499999999995,64
2015-04-15,-0.050994339622641514,53
2015-04-16,-0.2540973684210526,38
2015-04-17,0.059527272727272734,22
2015-04-18,0.14674736842105263,19
2015-04-19,0.09455357142857143,28
2015-04-20,0.17557307692307692,26
2015-04-21,0.11238275862068967,58
2015-04-22,0.10955102040816327,49
2015-04-23,0.05547540983606558,61
2015-04-24,0.1227575,40
2015-04-25,0.20635833333333334,36
2015-04-26,0.1354577777777778,45
2015-04-27,0.0075983050847457595,59
2015-04-28,-0.02835102040816326,49
2015-04-29,0.15153673469387755,49
2015-04-30,0.1345709677419355,62
2015-05-01,0.031012162162162172,74
2015-05-02,0.09395468750000001,64
2015-05-03,0.03613773584905661,53
2015-05-04,-0.006413846153846163,65
2015-05-05,-0.1127734375,64
2015-05-06,0.0689764705882353,34
2015-05-07,-0.21132236842105265,76
2015-05-08,-0.07666923076923077,39
2015-05-09,0.107746875,32
2015-05-10,-0.005065714285714292,35
2015-05-11,-0.01303571428571429,28
2015-05-12,-0.003372413793103446,29
2015-05-13,0.17294848484848485,33
2015-05-14,-0.01974545454545456,33
2015-05-15,-0.2980958333333334,48
2015-05-16,-0.18954285714285718,35
2015-05-17,-0.14680526315789474,19
2015-05-18,-0.029188235294117654,17
2015-05-19,-0.021364285714285725,14
2015-05-20,-0.043652380952380956,21
2015-05-21,-0.23040000000000005,18
2015-05-22,0.126,7
2015-05-23,0.37327272727272726,11
2015-05-24,-0.25162727272727275,11
2015-05-25,0.315675,4
2015-05-26,0.05881764705882354,17
2015-05-27,0.10360357142857143,28
2015-05-28,-0.42225,6
2015-05-29,-0.03674444444444447,9
2015-05-30,-0.030730769230769246,13
2015-05-31,-0.3746285714285715,7
2015-06-01,0.38011111111111107,9
2015-06-02,-0.1487764705882353,17
2015-06-03,-0.24428750000000002,16
2015-06-04,-0.626475,4
2015-06-05,0.006311111111111107,9
2015-06-06,-0.29123750000000004,8
2015-06-07,-0.47002,5
2015-06-08,-0.19335,8
2015-06-09,0.27953333333333336,9
2015-06-10,0.09081428571428571,14
2015-06-11,-0.17698,20
2015-06-12,0.13952857142857142,7
2015-06-13,0.16310000000000002,2
2015-06-14,-0.59532,5
2015-06-15,0.3502571428571429,7
2015-06-16,0.39892727272727274,11
2015-06-17,-0.11268,10
2015-06-18,0.2828,9
2015-06-19,0.421275,8
2015-06-20,-0.5994,2
2015-06-21,0.57898,5
2015-06-22,0.43014375,16
2015-06-23,-0.13171818181818182,11
2015-06-24,-0.21276666666666666,9
2015-06-25,-0.2296555555555556,9
2015-06-26,0.009925000000000003,4
2015-06-27,-0.41056,5
2015-06-28,0.3365,7
2015-06-29,-0.07220000000000001,13
2015-06-30,0.031599999999999996,6
2015-07-01,-0.20618888888888887,9
2015-07-02,-0.27212000000000003,5
2015-07-03,0.40524999999999994,6
2015-07-04,-0.37889999999999996,3
2015-07-05,0.47163333333333335,3
2015-07-06,0.1130125,16
2015-07-07,-0.11543333333333335,9
2015-07-08,0.292425,4
2015-07-09,0.29436666666666667,9
2015-07-10,-0.35073333333333334,9
2015-07-11,0.45553333333333335,6
2015-07-12,0.13095,2
2015-07-13,0.284375,8
2015-07-14,-0.12296249999999999,8
2015-07-15,0.16390769230769228,13
2015-07-16,0.7347142857142857,7
2015-07-17,0.11817142857142857,7
2015-07-18,0.5620444444444445,9
2015-07-19,-0.14047777777777778,9
2015-07-20,0.12321724137931035,29
2015-07-21,-0.29209999999999997,16
2015-07-22,-0.01924285714285714,14
2015-07-23,0.03896999999999999,10
2015-07-24,0.25155666666666665,30
2015-07-25,0.21142222222222223,9
2015-07-26,0.4154875,8
2015-07-27,0.10921428571428574,7
2015-07-28,0.08961818181818182,11
2015-07-29,0.19501249999999998,8
2015-07-30,0.29795555555555553,9
2015-07-31,0.2818666666666666,9
2015-08-01,0.08724444444444444,9
2015-08-02,0.43334285714285714,7
2015-08-03,0.16628666666666667,15
2015-08-04,-0.10593846153846155,13
2015-08-05,0.07005,18
2015-08-06,0.14759,20
2015-08-07,0.35186666666666666,9
2015-08-08,-0.031610000000000006,10
2015-08-09,0.3341181818181818,11
2015-08-10,0.17496363636363635,11
2015-08-11,-0.2843,9
2015-08-12,-0.18487027027027028,37
2015-08-13,-0.02109285714285716,14
2015-08-14,0.183725,28
2015-08-15,-0.2520972972972973,74
2015-08-16,-0.18700857142857144,35
2015-08-17,0.028352380952380938,21
