date,weighted_compound
2015-01-01,-0.12443360655737705
2015-01-02,0.19999117157134924
2015-01-03,0.21787245812232178
2015-01-04,0.18556688781664654
2015-01-05,-0.33369861407249474
2015-01-06,0.04192119463770576
2015-01-07,0.10385178953808506
2015-01-08,-0.0041273556231003206
2015-01-09,0.20204713567839194
2015-01-10,0.2824992358078603
2015-01-11,-0.10196178343949042
2015-01-12,0.41514242179616556
2015-01-13,0.3236319338905775
2015-01-14,-0.2075472324723247
2015-01-15,-0.21766161879895563
2015-01-16,-0.04883249211356469
2015-01-17,0.4978154228855722
2015-01-18,0.09161325648414985
2015-01-19,0.08383957597173147
2015-01-20,0.5022996688741722
2015-01-21,0.1664762162162162
2015-01-22,-0.16949560439560435
2015-01-23,0.38973208955223876
2015-01-24,-0.06449939393939395
2015-01-25,-0.0007171617161716122
2015-01-26,-0.4696867403314917
2015-01-27,0.5868884348496529
2015-01-28,-0.15859549295774653
2015-01-29,0.002820869565217408
2015-01-30,-0.1578200892857143
2015-01-31,-0.09868539325842694
2015-02-01,0.5798939874832365
2015-02-02,-0.035017365269461094
2015-02-03,0.35799489291598025
2015-02-04,0.36056193693693694
2015-02-05,-0.05812170212765959
2015-02-06,0.003144512800158759
2015-02-07,0.3185693084693085
2015-02-08,0.19204330143540674
2015-02-09,-0.5129321421559003
2015-02-10,-0.08079166666666665
2015-02-11,0.5770511475409836
2015-02-12,-0.10518546845124283
2015-02-13,0.05662185089974292
2015-02-14,0.0025652801358234303
2015-02-15,0.1969263269639066
2015-02-16,0.37758742857142863
2015-02-17,-0.07756609848484848
2015-02-18,-0.20839868421052632
2015-02-19,0.7449857453754082
2015-02-20,0.12396635021097047
2015-02-21,0.19891274900398406
2015-02-22,0.1390753012048193
2015-02-23,0.04554056094929882
2015-02-24,0.037228585327884804
2015-02-25,0.34998257790368276
2015-02-26,0.0864561824729892
2015-02-27,-0.19297605633802817
2015-02-28,0.18975321888412017
2015-03-01,0.25636005509641874
2015-03-02,0.13930829361296473
2015-03-03,-0.09777443970117396
2015-03-04,0.012377261926521657
2015-03-05,0.11464038461538462
2015-03-06,0.41525634715025905
2015-03-07,-0.4117509852216749
2015-03-08,0.341531741821397
2015-03-09,0.28698359073359075
2015-03-10,0.06141412300683371
2015-03-11,0.19531857707509884
2015-03-12,-0.680244316469322
2015-03-13,-0.11712648966355899
2015-03-14,0.2514278884462151
2015-03-15,0.4519707889125799
2015-03-16,-0.11784125269978396
2015-03-17,-0.13108171603677218
2015-03-18,0.1671951048951049
2015-03-19,-0.052280549019607866
2015-03-20,-0.34561057343334145
2015-03-21,-0.20867710526315789
2015-03-22,0.4630320187165777
2015-03-23,-0.27914730831973905
2015-03-24,0.028581826611033857
2015-03-25,-0.01840617420066152
2015-03-26,0.15456357466063347
2015-03-27,0.1676101253616201
2015-03-28,0.08674787878787879
2015-03-29,0.7533698529411764
2015-03-30,0.46561766381766384
2015-03-31,-0.256359375
2015-04-01,-0.054639124839124836
2015-04-02,0.22531104477611943
2015-04-03,0.006431201504820125
2015-04-04,-0.2073189189189189
2015-04-05,-0.03902955665024631
2015-04-06,0.2798179421768707
2015-04-07,-0.1958372756071806
2015-04-08,0.2395760792280345
2015-04-09,-0.037002049834294844
2015-04-10,-0.03492218268090154
2015-04-11,-0.18819741279741276
2015-04-12,0.1641156923076923
2015-04-13,0.03647387843704776
2015-04-14,0.00676648441771461
2015-04-15,-0.018435634847080648
2015-04-16,-0.3412918153244988
2015-04-17,-0.07753372816703474
2015-04-18,-0.24955573610659731
2015-04-19,-0.09542210492642356
2015-04-20,0.04792140167969881
2015-04-21,-0.1940264649066323
2015-04-22,0.10518281938325993
2015-04-23,-0.2829955391855944
2015-04-24,0.0333886146943354
2015-04-25,0.00032589122486288604
2015-04-26,-0.11205870516185475
2015-04-27,-0.37126351575456046
2015-04-28,-0.013702857142857149
2015-04-29,0.5123011067193677
2015-04-30,-0.4206330696202532
2015-05-01,-0.1923797830248883
2015-05-02,0.31224276629570746
2015-05-03,-0.0334134784020786
2015-05-04,0.04101178226689226
2015-05-05,0.07969682793976289
2015-05-06,0.0918438244047619
2015-05-07,-0.17245311420392856
2015-05-08,0.13702978759271744
2015-05-09,0.3700620667522465
2015-05-10,-0.038952601872246695
2015-05-11,0.7232216559459014
2015-05-12,-0.2825933797909408
2015-05-13,0.1966146376811595
2015-05-14,0.05124042663891779
2015-05-15,-0.2910168375325803
2015-05-16,0.07322301198257081
2015-05-17,-0.1333525993883792
2015-05-18,0.43525063585885726
2015-05-19,0.009447262247838605
2015-05-20,0.038963186440677956
2015-05-21,-0.46717775987107174
2015-05-22,0.31590050125313285
2015-05-23,0.1176502487562189
2015-05-24,-0.6549241666666668
2015-05-25,0.40799402460456946
2015-05-26,0.46628036268583567
2015-05-27,-0.07333371467025572
2015-05-28,-0.08290252844500633
2015-05-29,-0.481606647763075
2015-05-30,0.4373346863468635
2015-05-31,0.1326098039215686
2015-06-01,0.2554943469785575
2015-06-02,0.17299468719923
2015-06-03,0.4060137538326764
2015-06-04,-0.42989913644214156
2015-06-05,-0.21107333333333336
2015-06-06,0.39055985267034987
2015-06-07,-0.09764458838278309
2015-06-08,-0.05731497890295357
2015-06-09,0.1311531574740208
