date,avg_compound,post_count,weighted_compound,consumer_sentiment,investor_sentiment,Close,High,Low,Open,Volume,Daily Return
2015-01-02,0.1529159420289855,69,0.1999911715713492,0.1529159420289855,,85.36595153808594,86.75912275565167,84.54643701390053,86.42221624639133,5865400,
2015-01-05,0.21708125,32,-0.3336986140724947,0.1967258064516129,0.8481,84.11845397949219,85.00170798977251,83.57211336968822,84.93796836774702,7789400,-0.0146135260735327
2015-01-06,0.0287249999999999,64,0.0419211946377057,0.0287249999999999,,83.67228698730469,84.85603091105646,83.00757469630607,84.29147494098893,6793100,-0.0053040322435821
2015-01-07,0.1757912408759124,137,0.103851789538085,0.1757912408759124,,84.5282211303711,84.81960327442168,83.86350192360972,84.42805786706325,6589500,0.0102296013875691
2015-01-08,0.1351767441860465,43,-0.0041273556231003,0.1351767441860465,,85.40237426757812,85.86676698418388,85.19294007864647,85.47522154608468,7579400,0.0103415536907938
2015-01-09,0.2174470588235294,51,0.2020471356783919,0.2174470588235294,,85.82122802734375,86.750006430439,85.5844778669084,85.63911679445393,8621300,0.004904474417225
2015-01-12,0.2673294117647058,34,0.4151424217961655,0.2524636363636364,0.7579,86.01244354248047,86.28561732823093,85.38414800351318,86.22187770450222,6586200,0.0022280678048069
2015-01-13,0.1294964705882353,85,0.3236319338905775,0.1294964705882353,,86.67716217041016,87.80626704668194,86.23097786001982,86.75911013736068,9364300,0.0077281681644283
2015-01-14,-0.0592608695652174,46,-0.2075472324723247,-0.0592608695652174,,85.80301666259766,86.32204129987184,84.94707861452872,85.59358249975811,6509300,-0.0100850729987432
2015-01-15,-0.1499942857142857,35,-0.2176616187989556,-0.1836911764705882,0.9957,85.91227722167969,86.4677254717005,85.63000274767155,86.1490273644175,5662200,0.0012733883181714
2015-01-16,0.1016531249999999,32,-0.0488324921135646,0.1016531249999999,,86.66806030273438,86.71359158547415,85.57537898796352,85.5935873328004,6117000,0.0087971487370139
2015-01-20,0.1760027027027027,37,0.5022996688741722,0.1760027027027027,,86.26741027832031,86.8592822392545,85.36594781458591,86.7044869878544,7940600,-0.0046228105603676
2015-01-21,0.0275966666666666,30,0.1664762162162162,-0.0054724137931034,0.9866,85.74838256835938,86.26740723487735,85.42968443051473,85.93050075219801,7474700,-0.0060164980991828
2015-01-22,0.0302851851851851,27,-0.1694956043956043,-0.0064807692307692,0.9862,86.64073944091797,86.85927430216626,85.60269016611609,86.12171480351702,7014200,0.0104066904334574
2015-01-23,0.3318892857142857,28,0.3897320895522387,0.3318892857142857,,86.24918365478516,86.98674306452692,85.98511754518816,86.43129485935688,4664700,-0.0045193033745957
2015-01-26,-0.0177657894736842,38,-0.4696867403314917,-0.0177657894736842,,86.47685241699219,86.50416841127038,85.52985858178532,86.00335202583912,5446900,0.0026396628067608
2015-01-27,0.021952,25,0.5868884348496529,0.021952,,85.56625366210938,86.26738942058243,85.01080547352423,85.53893767694895,5390000,-0.0105299710781782
2015-01-28,-0.0540555555555555,27,-0.1585954929577465,-0.0791884615384615,0.5994,84.38252258300781,86.02155140749889,84.32789060455744,85.72106163182586,6198400,-0.0138340879545336
2015-01-29,0.0273361111111111,36,0.0028208695652174,0.0273361111111111,,84.88333892822266,85.13829742394586,83.33536571589212,84.78317566960311,7681700,0.0059350719779938
2015-01-30,0.0124699999999999,40,-0.1578200892857143,0.0124699999999999,,82.82545471191406,84.62838655030208,82.70708310094203,84.22773348686063,10212300,-0.0242436765835606
2015-02-02,0.1000551724137931,29,-0.035017365269461,0.1000551724137931,,83.70870208740234,83.8179729905891,82.00593365167282,83.13504547664219,9392000,0.0106639604764069
2015-02-03,0.2182975609756097,41,0.3579948929159802,0.2182975609756097,,85.68463134765625,85.69373899239051,83.94544634667386,84.16398119061408,12329100,0.0236048249582319
2015-02-04,0.2581387096774193,31,0.3605619369369369,0.2471137931034482,0.418,92.2225341796875,92.823513751382,89.9825326751046,90.50155732925066,32640500,0.0763019310371355
2015-02-05,0.122674074074074,27,-0.0581217021276595,0.122674074074074,,93.46092224121094,93.64303349743945,91.52141026869072,91.74905281252592,14089500,0.0134282588581935
2015-02-06,0.1706638888888889,36,0.0031445128001587,0.1706638888888889,,92.89635467529295,93.77960874703312,92.55944819847127,93.4882266050558,8535200,-0.0060406804510326
2015-02-09,0.2859722222222222,18,-0.5129321421559003,0.2859722222222222,,92.63229370117188,93.33342957884588,92.37732825310138,92.69603332641496,5461800,-0.0028425332193505
2015-02-10,-0.0131528735632184,87,-0.0807916666666666,-0.0131528735632184,,92.8052978515625,93.05115565549804,92.13147795958396,92.84172148722324,5726300,0.0018676440308034
2015-02-11,0.2346333333333333,30,0.5770511475409836,0.2346333333333333,,92.75977325439452,92.89635320386252,92.0313144374405,92.88725250529676,5868200,-0.0004905387754994
2015-02-12,0.0649371428571428,35,-0.1051854684512428,0.0649371428571428,,94.3168487548828,94.56269961507064,92.60497259098892,93.0238409332468,6816800,0.0167861072301027
2015-02-13,0.0755965517241379,29,0.0566218508997429,0.0755965517241379,,94.85408020019533,95.07262201355071,94.1802603100948,94.45343410324,5175600,0.0056960283597757
2015-02-17,0.121430303030303,33,-0.0775660984848484,0.09451875,0.9826,94.80856323242188,95.10904609171048,94.30774688844308,94.90872650121764,4759300,-0.0004798630451886
2015-02-18,-0.003526923076923,26,-0.2083986842105263,-0.0391079999999999,0.886,94.5718002319336,94.99976924109872,94.1529388679054,94.1529388679054,3760200,-0.0024972744277103
2015-02-19,0.1291571428571428,21,0.7449857453754082,0.1291571428571428,,94.59912109375,94.77213162477604,94.28953061412246,94.69928435412318,5094100,0.0002888901527664
2015-02-20,0.0139896551724137,29,0.1239663502109704,0.0139896551724137,,95.20010375976562,95.32758301401526,93.54286650742203,94.5718081873222,5197000,0.0063529413282819
2015-02-23,0.2470086956521739,23,0.0455405609492988,0.2470086956521739,,95.60073852539062,95.81928031854704,95.09992921370991,95.39131132415427,5587100,0.0042083437916831
2015-02-24,0.0879083333333333,48,0.0372285853278848,0.0879083333333333,,95.30935668945312,95.65537772273194,95.01797457816951,95.19098509480894,4098800,-0.0030479036086118
2015-02-25,0.1952588235294117,34,0.3499825779036827,0.1952588235294117,,96.12886810302734,96.502205112316,95.3093537691841,95.31846141375382,6547200,0.0085984361036497
2015-02-26,0.1205264705882352,34,0.0864561824729892,0.0940484848484848,0.9943,95.2092056274414,96.2563626120035,94.82676785999736,96.06514372828148,5049000,-0.0095669749757199
2015-02-27,0.0859620689655172,29,-0.1929760563380281,0.0859620689655172,,94.77213287353516,95.73733490756024,94.66286196611604,95.30936587070816,4161600,-0.0045906564499291
2015-03-02,0.1027714285714285,42,0.1393082936129647,0.06062,0.9458,96.42025756835938,96.5022124815507,95.01797892272202,95.01797892272202,5635500,0.0173903936194355
2015-03-03,0.2061391304347826,46,-0.0977744397011739,0.1895888888888888,0.9509,96.83912658691406,97.10319274367951,95.80107725182135,96.32010191936772,4671900,0.0043442014066155
2015-03-04,0.1118793478260869,92,0.0123772619265216,0.10874,0.25315,96.12886810302734,96.52041345435816,95.40951701815924,96.39293421877112,4972300,-0.0073344164587156
2015-03-05,0.0930897058823529,68,0.1146403846153846,0.0930897058823529,,95.63715362548828,96.34739702213976,95.49146605681209,96.10154621064382,3954700,-0.0051151593401896
2015-03-06,0.1240027777777777,36,0.415256347150259,0.1240027777777777,,94.53538513183594,95.60985810075697,94.2348953390728,95.30936830799382,5704200,-0.0115202978328572
2015-03-09,0.2005487804878049,41,0.2869835907335907,0.2005487804878049,,95.84661102294922,95.99229862699264,94.53538785106544,94.64465876442192,4868900,0.0138702126117611
2015-03-10,0.1195442622950819,61,0.0614141230068337,0.105435,0.9661,93.87065887451172,95.01797903081066,93.87065887451172,94.94513176280168,6472600,-0.020615774802558
2015-03-11,0.1417763157894737,38,0.1953185770750988,0.1187243243243243,0.9947,93.68855285644533,94.69928617815307,93.67034451198045,94.25310879423196,4831900,-0.001939967400355
2015-03-12,-0.1180854166666666,96,-0.680244316469322,-0.1180854166666666,,97.58578491210938,97.73147944623769,94.52626916639262,94.5626927999247,10730400,0.041597739924915
2015-03-13,0.0384632653061224,49,-0.1171264896635589,0.0384632653061224,,96.92108154296876,97.6859570755986,96.08335178953338,97.6859570755986,8024200,-0.0068114774066662
2015-03-16,0.1465921568627451,51,-0.1178412526997839,0.1465921568627451,,97.76791381835938,98.09571960905568,96.5659615681724,97.28530583137422,6407300,0.0087373382746991
2015-03-17,0.2220051282051282,39,-0.1310817160367721,0.2033710526315789,0.9301,97.39459228515624,97.62223484573686,96.65703261194696,97.4310159285011,4489400,-0.003818446345257
2015-03-18,0.1669612903225806,31,0.1671951048951049,0.1669612903225806,,98.31424713134766,98.72400086551129,96.27457221180993,97.33993747831374,5520600,0.0094425657997396
2015-03-19,0.1303291666666666,48,-0.0522805490196078,0.1303291666666666,,97.76791381835938,98.77864718182325,97.55847963932064,98.19587592839764,4885600,-0.0055570105954061
2015-03-20,0.0513632653061224,49,-0.3456105734333414,0.0356374999999999,0.8062,98.73311614990234,99.19750884575608,97.8862856796272,98.18677547971484,8710100,0.0098723834215814
2015-03-23,-0.1063083333333333,60,-0.279147308319739,-0.1240813559322034,0.9423,98.54187774658205,99.1155342946021,98.37797488327668,98.8878918148501,5667000,-0.0019369225927191
2015-03-24,0.1841199999999999,50,0.0285818266110338,0.1841199999999999,,97.53115844726562,98.38709651589777,97.50384245734728,98.08660673259948,4493500,-0.010256748931816
2015-03-25,0.1575325581395349,43,-0.0184061742006615,0.1575325581395349,,95.60985565185548,97.8498571506186,95.60985565185548,97.8407495048928,6964700,-0.0196993742922575
2015-03-26,0.133103125,32,0.1545635746606334,0.133103125,,95.82837677001952,96.35650899276584,94.79032761336488,95.12724098589555,5915800,0.0022855501315655
2015-03-27,0.2774235294117647,34,0.1676101253616201,0.2774235294117647,,96.04692840576172,96.93017548628374,95.50058083813435,95.7919629655566,5330400,0.0022806567648192
2015-03-30,0.30265,40,0.4656176638176638,0.2854205128205128,0.9746,96.62969207763672,97.38545990704556,96.56595245474446,96.57505315294488,3831900,0.0060674888988958
2015-03-31,0.0253272727272727,44,-0.256359375,0.0253272727272727,,95.50968933105467,96.81180474420562,95.50968933105467,96.15619321491312,5701600,-0.0115906686909668
2015-04-01,-0.0551236111111111,72,-0.0546391248391248,-0.0491859154929577,-0.4767,96.01050567626952,96.52042266728952,94.92692512325408,96.00139803083049,6117200,0.005243618199604
2015-04-02,0.2302,40,0.2253110447761194,0.2302,,96.52042388916016,96.73895875277834,95.48237460310118,96.0560312252607,3651600,0.0053110668389768
2015-04-06,0.1455351851851851,54,0.2798179421768707,0.1455351851851851,,96.18350219726562,97.03944018116545,95.6462692564587,95.89212008848446,4153500,-0.0034906777065281
2015-04-07,0.0425766233766233,77,-0.1958372756071806,0.0425766233766233,,96.00141143798828,96.89377324399476,95.97409544495424,96.33832489530585,4694600,-0.0018931600026779
2015-04-08,0.2040269841269841,63,0.2395760792280345,0.2040269841269841,,96.8482437133789,97.14873353639922,95.75556228961293,95.8193019235476,4277400,0.0088210398441654
2015-04-09,0.1984430769230769,65,-0.0370020498342948,0.1984430769230769,,97.22157287597656,97.43100706939131,96.41116598976544,96.9848296364108,3924400,0.003854785056325
